English,French
Hello,Bonjour
Hi,Salut
Good morning,Bonjour
Good afternoon,Bon après-midi
Good evening,Bonsoir
Good night,Bonne nuit
Goodbye,Au revoir
See you later,À plus tard
See you soon,À bientôt
Take care,Prends soin de toi
Thank you,Merci
Thank you very much,Merci beaucoup
You're welcome,De rien
Please,S'il vous plaît
Excuse me,Excusez-moi
I'm sorry,Je suis désolé
No problem,Pas de problème
Yes,Oui
No,Non
Maybe,Peut-être
I love you,Je t'aime
I miss you,Tu me manques
I am happy,Je suis heureux
I am sad,Je suis triste
I am tired,Je suis fatigué
I am hungry,J'ai faim
I am thirsty,J'ai soif
How are you?,Comment allez-vous ?
I am fine,Je vais bien
Nice to meet you,Ravi de vous rencontrer
What is your name?,Comment vous appelez-vous ?
My name is John,Je m'appelle John
Where are you?,Où êtes-vous ?
Come here,Viens ici
Sit down,Assieds-toi
Stand up,Lève-toi
Open the door,Ouvre la porte
Close the door,Ferme la porte
Please help me,Aidez-moi s'il vous plaît
I need help,J'ai besoin d'aide
Congratulations,Félicitations
Happy birthday,Joyeux anniversaire
Good luck,Bonne chance
Welcome,Bienvenue
See you tomorrow,À demain
See you tonight,À ce soir
Drive safely,Conduisez prudemment
Have a nice day,Bonne journée
Have a good trip,Bon voyage
I understand,Je comprends
I don't understand,Je ne comprends pas
